N_EXPEDIEN;F_EXPEDIEN;CALLE;ALTURA;DIRECCION;SMP;M2;FECHA_ESTA;DESTINO;ZONIFICACI;TIPO_OBRA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
1.206.390/2009;28/9/2009 00:00;MURGUIONDO;4491;MURGUIONDO 4491;080-098-026;34.90;6/3/2012 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA LUGANO;COMUNA 8;1439;C1439FTG;-34.679464859162;-58.47253658736091
1.210.282/2009;29/9/2009 00:00;ALBERTI;1146;ALBERTI 1146;022-018-010;1456.92;6/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;SAN CRISTOBAL;COMUNA 3;1223;C1223AAN;-34.62277361782188;-58.40047453140233
1.210.506/2009;29/9/2009 00:00;EL SALVADOR;5071;EL SALVADOR 5071;019-069-018;160.58;28/3/2012 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;PALERMO;COMUNA 14;1414;C1414BPQ;-34.58703989086761;-58.43055427518801
1.216.176/2009;30/9/2009 00:00;GAMARRA;1855;GAMARRA 1855;051-050A-018;1968.55;27/1/2012 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431FFG;-34.57956781037332;-58.48078968769628
1.218.489/2009;30/9/2009 00:00;PUEYRREDON AV.;635;PUEYRREDON AV. 635;009-007-016;707.84;4/11/2013 00:00;;;DEMOLICION TOTAL Y OBRA;BALVANERA;COMUNA 3;1032;C1032ABG;-34.60269925023137;-58.404912063224366
1.218.958/2009;30/9/2009 00:00;ENTRE RIOS AV.;710;ENTRE RIOS AV. 710;012-001-007A;6962.95;10/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;MONSERRAT;COMUNA 1;1080;C1080ABO;-34.61708913485555;-58.39158464668785
1.218.958/2009;30/9/2009 00:00;ENTRE RIOS AV.;710;ENTRE RIOS AV. 710;012-001-007A;6962.95;16/8/2012 00:00;;;DEMOLICION TOTAL Y OBRA;MONSERRAT;COMUNA 1;1080;C1080ABO;-34.61708913485555;-58.39158464668785
1.219.635/2009;30/9/2009 00:00;FLORIDA;877;FLORIDA 877;003-048-002A;25242.46;6/1/2014 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;RETIRO;COMUNA 1;1005;C1005AAQ;-34.598024146741736;-58.3753404985889
1.223.394/2009;1/10/2009 00:00;RIVERA, PEDRO I., DR.;3190;RIVERA, PEDRO I., DR. 3190;041-073-012;1221.91;28/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;COGHLAN;COMUNA 12;1428;C1428BQP;-34.561015335629996;-58.4684964564504
1.224.908/2009;1/10/2009 00:00;ROOSEVELT FRANKLIN D. AV.;4971;ROOSEVELT FRANKLIN D. AV. 4971;053-002-016B;40.12;11/8/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431BZC;-34.57273685016271;-58.48581559278051
1.224.756/2009;1/10/2009 00:00;AGUERO;859;AGUERO 859;013-063-019;589.71;12/1/2012 00:00;;;DEMOLICION TOTAL Y OBRA;BALVANERA;COMUNA 3;1171;C1171ABM;-34.599795083315875;-58.410630376000306
1.224.726/2009;1/10/2009 00:00;NUÑEZ;2128;NUÑEZ 2128;027-032-003;64.89;18/6/2012 00:00;;;OBRA NUEVA;NUÑEZ;COMUNA 13;1429;C1429BWD;-34.548419572219835;-58.46484519866494
